Day,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,suspected_cases_cumulative
1,1268,2,23,0,3.29,0,0.221,12.191,0.032,0,0.01923,0,
8,1308,3,40,1,5.71,0.14,0.384,12.568,0.055,0.00961,0.02883,0.00135,
15,1362,3,54,0,7.71,0,0.519,13.079,0.074,0,0.02881,0,
22,1459,3,97,0,13.86,0,0.931,14.002,0.133,0,0.02879,0,
29,1502,3,43,0,6.14,0,0.412,14.406,0.059,0,0.02877,0,
36,1572,3,70,0,10,0,0.671,15.068,0.096,0,0.02875,0,
43,1631,3,59,0,8.43,0,0.565,15.623,0.081,0,0.02874,0,
50,1684,3,53,0,7.57,0,0.507,16.121,0.072,0,0.02872,0,
57,1754,4,70,1,10,0.14,0.67,16.781,0.096,0.00957,0.03827,0.00134,
64,1802,4,48,0,6.86,0,0.459,17.23,0.066,0,0.03825,0,
71,1848,4,46,0,6.57,0,0.44,17.659,0.063,0,0.03822,0,
78,1917,4,69,0,9.86,0,0.659,18.307,0.094,0,0.0382,0,16561
85,1971,4,54,0,7.71,0,0.515,18.811,0.074,0,0.03818,0,
92,2047,5,76,1,10.86,0.14,0.725,19.524,0.104,0.00954,0.04769,0.00134,
99,2129,5,82,0,11.71,0,0.782,20.294,0.112,0,0.04766,0,17585
106,2207,6,78,1,11.14,0.14,0.743,21.024,0.106,0.00953,0.05716,0.00133,
113,2286,7,79,1,11.29,0.14,0.752,21.764,0.107,0.00952,0.06664,0.00133,17950
120,2469,7,183,0,26.14,0,1.741,23.492,0.249,0,0.0666,0,18530
127,2629,8,160,1,22.86,0.14,1.521,24.999,0.217,0.00951,0.07607,0.00133,18566
134,2786,10,157,2,22.43,0.29,1.492,26.475,0.213,0.01901,0.09503,0.00276,
141,2903,11,117,1,16.71,0.14,1.111,27.57,0.159,0.0095,0.10447,0.00133,
148,3016,12,113,1,16.14,0.14,1.073,28.626,0.153,0.00949,0.1139,0.00133,
155,3180,13,164,1,23.43,0.14,1.556,30.164,0.222,0.00949,0.12331,0.00133,19714
162,3374,15,194,2,27.71,0.29,1.839,31.985,0.263,0.01896,0.1422,0.00275,19987
169,3502,15,128,0,18.29,0,1.213,33.178,0.173,0,0.14211,0,
176,3647,16,145,1,20.71,0.14,1.373,34.531,0.196,0.00947,0.15149,0.00133,21042
183,3794,16,147,0,21,0,1.391,35.9,0.199,0,0.1514,0,
190,3964,16,170,0,24.29,0,1.608,37.485,0.23,0,0.1513,0,
197,4189,18,225,2,32.14,0.29,2.126,39.588,0.304,0.0189,0.17011,0.00274,
204,4385,21,196,3,28,0.43,1.851,41.415,0.264,0.02833,0.19834,0.00406,24148
211,4442,21,57,0,8.14,0,0.538,41.927,0.077,0,0.19821,0,
218,4480,21,38,0,5.43,0,0.358,42.259,0.051,0,0.19809,0,